invoice_id,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,VAT,Total,Date,time,Payment_method,COGS,Gross_margin_percentage,Gross_income,Rating,WEEKDAY,Month_
101-81-4070,C,Kano,Member,Female,"Health and beauty",62.82,2,6.28,131.92,2019-01-17,12:36:00,Ewallet,125.64,4.76,6.28,4.90,Thursday,January
102-06-2002,C,Kano,Member,Male,"Sports and travel",25.25,5,6.31,132.56,2019-03-20,17:52:00,Cash,126.25,4.76,6.31,6.10,Wednesday,March
105-10-6182,A,Abuja,Member,Male,"Fashion accessories",21.48,2,2.15,45.11,2019-02-27,12:22:00,Ewallet,42.96,4.76,2.15,6.60,Wednesday,February
106-35-6779,A,Abuja,Member,Male,"Home and lifestyle",44.34,2,4.43,93.11,2019-03-27,11:26:00,Cash,88.68,4.76,4.43,5.80,Wednesday,March
109-28-2512,B,Lagos,Member,Female,"Fashion accessories",97.61,6,29.28,614.94,2019-01-07,15:01:00,Ewallet,585.66,4.76,29.28,9.90,Monday,January
110-48-7033,B,Lagos,Member,Male,"Fashion accessories",32.62,4,6.52,137.00,2019-01-29,14:12:00,Cash,130.48,4.76,6.52,9.00,Tuesday,January
114-35-5271,B,Lagos,Normal,Female,"Electronic accessories",57.91,8,23.16,486.44,2019-02-07,15:06:00,Cash,463.28,4.76,23.16,8.10,Thursday,February
118-62-1812,C,Kano,Member,Female,"Home and lifestyle",78.38,4,15.68,329.20,2019-03-24,17:56:00,Cash,313.52,4.76,15.68,7.90,Sunday,March
120-06-4233,C,Kano,Normal,Male,"Electronic accessories",30.61,6,9.18,192.84,2019-03-12,20:36:00,Cash,183.66,4.76,9.18,9.30,Tuesday,March
122-61-9553,C,Kano,Normal,Female,"Electronic accessories",51.32,9,23.09,484.97,2019-03-14,19:33:00,Cash,461.88,4.76,23.09,5.60,Thursday,March
123-19-1176,A,Abuja,Member,Male,"Health and beauty",58.22,8,23.29,489.05,2019-01-27,20:33:00,Ewallet,465.76,4.76,23.29,8.40,Sunday,January
123-35-4896,C,Kano,Normal,Female,"Sports and travel",46.66,9,21.00,440.94,2019-02-17,19:11:00,Ewallet,419.94,4.76,21.00,5.30,Sunday,February
124-31-1458,A,Abuja,Member,Female,"Electronic accessories",79.59,3,11.94,250.71,2019-01-08,14:30:00,Cash,238.77,4.76,11.94,6.60,Tuesday,January
125-45-2293,A,Abuja,Normal,Female,"Fashion accessories",99.1,6,29.73,624.33,2019-01-19,13:11:00,Cash,594.60,4.76,29.73,4.20,Saturday,January
129-29-8530,A,Abuja,Member,Male,"Sports and travel",62.62,5,15.66,328.76,2019-03-10,19:15:00,Ewallet,313.10,4.76,15.66,7.00,Sunday,March
130-67-4723,A,Abuja,Member,Male,"Food and beverages",48.5,6,14.55,305.55,2019-01-11,13:57:00,Ewallet,291.00,4.76,14.55,9.40,Friday,January
130-98-8941,C,Kano,Normal,Male,"Fashion accessories",64.26,7,22.49,472.31,2019-02-09,10:00:00,Cash,449.82,4.76,22.49,5.70,Saturday,February
131-70-8179,A,Abuja,Member,Female,"Health and beauty",92.09,3,13.81,290.08,2019-02-17,16:27:00,Cash,276.27,4.76,13.81,4.20,Sunday,February
132-23-6451,A,Abuja,Member,Male,"Health and beauty",20.97,5,5.24,110.09,2019-01-04,13:21:00,Cash,104.85,4.76,5.24,7.80,Friday,January
132-32-9879,B,Lagos,Member,Female,"Electronic accessories",93.96,4,18.79,394.63,2019-03-09,18:00:00,Cash,375.84,4.76,18.79,9.50,Saturday,March
133-14-7229,C,Kano,Normal,Male,"Health and beauty",62.87,2,6.29,132.03,2019-01-01,11:43:00,Cash,125.74,4.76,6.29,5.00,Tuesday,January
134-54-4720,B,Lagos,Normal,Female,"Electronic accessories",42.42,8,16.97,356.33,2019-01-30,13:58:00,Ewallet,339.36,4.76,16.97,5.70,Wednesday,January
134-75-2619,A,Abuja,Member,Male,"Electronic accessories",19.32,7,6.76,142.00,2019-03-25,18:51:00,Cash,135.24,4.76,6.76,6.90,Monday,March
135-13-8269,B,Lagos,Member,Female,"Food and beverages",78.88,2,7.89,165.65,2019-01-26,16:04:00,Cash,157.76,4.76,7.89,9.10,Saturday,January
135-84-8019,A,Abuja,Normal,Female,"Fashion accessories",77.93,9,35.07,736.44,2019-02-27,16:10:00,Ewallet,701.37,4.76,35.07,7.60,Wednesday,February
137-63-5492,C,Kano,Normal,Male,"Electronic accessories",58.76,10,29.38,616.98,2019-01-29,14:26:00,Ewallet,587.60,4.76,29.38,9.00,Tuesday,January
137-74-8729,C,Kano,Normal,Female,"Fashion accessories",12.19,8,4.88,102.40,2019-03-13,12:47:00,Ewallet,97.52,4.76,4.88,6.80,Wednesday,March
139-32-4183,A,Abuja,Member,Female,"Sports and travel",97.48,9,43.87,921.19,2019-03-14,14:19:00,Ewallet,877.32,4.76,43.87,7.40,Thursday,March
142-63-6033,B,Lagos,Normal,Male,"Home and lifestyle",92.36,5,23.09,484.89,2019-03-20,19:17:00,Ewallet,461.80,4.76,23.09,4.90,Wednesday,March
145-94-9061,B,Lagos,Normal,Female,"Food and beverages",88.36,5,22.09,463.89,2019-01-25,19:48:00,Cash,441.80,4.76,22.09,9.60,Friday,January
146-09-5432,A,Abuja,Member,Male,"Food and beverages",35.04,9,15.77,331.13,2019-02-09,19:17:00,Ewallet,315.36,4.76,15.77,4.60,Saturday,February
148-41-7930,C,Kano,Normal,Male,"Health and beauty",99.96,7,34.99,734.71,2019-01-23,10:33:00,Cash,699.72,4.76,34.99,6.10,Wednesday,January
149-14-0304,C,Kano,Member,Female,"Health and beauty",28.5,8,11.40,239.40,2019-02-06,14:24:00,Cash,228.00,4.76,11.40,6.60,Wednesday,February
149-15-7606,B,Lagos,Member,Male,"Sports and travel",37.32,9,16.79,352.67,2019-03-06,15:31:00,Ewallet,335.88,4.76,16.79,5.10,Wednesday,March
149-71-6266,B,Lagos,Member,Male,"Sports and travel",78.07,9,35.13,737.76,2019-01-28,12:43:00,Cash,702.63,4.76,35.13,4.50,Monday,January
